type,name,hill_group,grid_ref,height
 MUNRO      , Carn a' Chlamain                                            , Tarf and Tilt                                   , NN915758 ,3159
 MUNRO      , Carn a' Choire Bhoideach                                    , Glenshee and Lochnagar                          , NO226845 ,3641
 MUNRO      , Carn a' Gheoidh                                             , Cairnwell                                       , NO107767 ,3198
 MUNRO      , Carn a' Mhaim                                               , South Cairngorms                                , NN994951 ,3402
 MUNRO      , Carn an Fhidhleir                                           , Tarf and Tilt                                   , NN904842 ,3261
 MUNRO      , Carn an Righ                                                , Cairnwell                                       , NO028772 ,3375
 MUNRO      , Carn an t-Sagairt Mor                                       , Glenshee and Lochnagar                          , NO208843 ,3435
 MUNRO      , Carn an Tuirc                                               , Glenshee and Lochnagar                          , NO174804 ,3343
 MUNRO      , Carn Aosda                                                  , Cairnwell                                       , NO135792 ,3008
 MUNRO      , Carn Bhac                                                   , Cairnwell                                       , NO051832 ,3103
 MUNRO      , Carn Dearg [Alder region]                                   , Loch Ericht to Loch Laggan                      , NN504764 ,3392
 MUNRO      , Carn Dearg [Monadh Liath]                                   , Laggan and Monadh Liath                         , NH635023 ,3100
 MUNRO      , Carn Dearg [Rannoch region]                                 , Loch Treig and Loch Ossian                      , NN417661 ,3087
 MUNRO      , Carn Eighe                                                  , Glen Affric and Strathfarrar                    , NH123262 ,3881
 MUNRO      , Carn Ghluasaid                                              , Glen Shiel                                      , NH145125 ,3139
 MUNRO      , Carn Gorm                                                   , Rannoch and Glen Lyon                           , NN635500 ,3375
 MUNRO      , Carn Liath                                                  , Laggan and Monadh Liath                         , NN472903 ,3300
 MUNRO      , Carn Liath (Beinn a' Ghlo)                                  , Tarf and Tilt                                   , NN936698 ,3198
 MUNRO      , Carn Mairg                                                  , Rannoch and Glen Lyon                           , NN684512 ,3415
 MUNRO      , Carn Mor Dearg                                              , Nevis Range and Grey Corries                    , NN177721 ,4002
 MUNRO      , Carn na Caim                                                , Drumochter                                      , NN677821 ,3087
 MUNRO      , Carn nan Gabhar (Beinn a' Ghlo)                             , Tarf and Tilt                                   , NN971733 ,3677
 MUNRO      , Carn nan Gobhar [Glen Strathfarrar]                         , Glen Affric and Strathfarrar                    , NH273439 ,3254
 MUNRO      , Carn nan Gobhar [Loch Mullardoch]                           , Glen Affric and Strathfarrar                    , NH181343 ,3254
 MUNRO      , Carn Sgulain                                                , Laggan and Monadh Liath                         , NH683058 ,3018
 MUNRO      , Chno Dearg                                                  , Loch Treig and Loch Ossian                      , NN377741 ,3431
 MUNRO      , Ciste Dhubh                                                 , Glen Shiel                                      , NH062166 ,3211
 MUNRO      , Cona' Mheall                                                , Fannaichs and Ullapool                          , NH274816 ,3208
 MUNRO      , Conival                                                     , Assynt and Far North                            , NC303199 ,3238
 MUNRO      , Creag a' Mhaim                                              , Glen Shiel                                      , NH087077 ,3106
 MUNRO      , Creag Leacach                                               , Glenshee and Lochnagar                          , NO154745 ,3238
 MUNRO      , Creag Meagaidh                                              , Laggan and Monadh Liath                         , NN418875 ,3700
 MUNRO      , Creag Mhor                                                  , Mamlorn                                         , NN391361 ,3435
 MUNRO      , Creag nan Damh                                              , Glen Shiel                                      , NG983112 ,3011
 MUNRO      , Creag Pitridh                                               , Loch Ericht to Loch Laggan                      , NN487814 ,3031
 MUNRO      , Creise                                                      , Glen Etive                                      , NN238506 ,3608
 MUNRO      , Cruach Ardrain                                              , Crianlarich                                     , NN409212 ,3431
 MUNRO      , Derry Cairngorm                                             , South Cairngorms                                , NO017980 ,3789
 MUNRO      , Dreish                                                      , Glenshee and Lochnagar                          , NO271735 ,3106
 MUNRO      , Druim Shionnach                                             , Glen Shiel                                      , NH074084 ,3238
 MUNRO      , Eididh nan Clach Geala                                      , Fannaichs and Ullapool                          , NH257842 ,3041
 MUNRO      , Fionn Bheinn                                                , Achnashellach and Torridon                      , NH147621 ,3061
 MUNRO      , Gairich                                                     , Knoydart and Loch Quoich                        , NN025995 ,3015
 MUNRO      , Garbh Chioch Mhor                                           , Knoydart and Loch Quoich                        , NM909961 ,3323
 MUNRO      , Geal Charn [Drumochter Pass]                                , Drumochter                                      , NN596782 ,3008
 MUNRO      , Geal Charn [Loch Laggan]                                    , Loch Ericht to Loch Laggan                      , NN504811 ,3441
 MUNRO      , Geal Charn [Monadh Liath]                                   , Laggan and Monadh Liath                         , NN561987 ,3038
 MUNRO      , Geal-Charn [Alder region]                                   , Loch Ericht to Loch Laggan                      , NN469746 ,3713
 MUNRO      , Glas Bheinn Mhor                                            , Glen Etive                                      , NN153429 ,3270
 MUNRO      , Glas Leathad Mor (Ben Wyvis)                                , Fannaichs and Ullapool                          , NH463683 ,3431
 MUNRO      , Glas Maol                                                   , Glenshee and Lochnagar                          , NO167765 ,3503
 MUNRO      , Glas Tulaichean                                             , Cairnwell                                       , NO051760 ,3448
 MUNRO      , Gleouraich                                                  , Knoydart and Loch Quoich                        , NH039053 ,3395
 MUNRO      ," Gulvain, or Gaor Bheinn                                     ", Loch Lochy                                      , NN003876 ,3238
 MUNRO      , Ladhar Bheinn                                               , Knoydart and Loch Quoich                        , NG823039 ,3346
 MUNRO      , Leabaidh an Daimh Bhuide (Ben Avon)                         , South Cairngorms                                , NJ131018 ,3841
 MUNRO      , Luinne Bheinn                                               , Knoydart and Loch Quoich                        , NG869007 ,3080
 MUNRO      , Lurg Mhor                                                   , Achnashellach and Torridon                      , NH065404 ,3234
 MUNRO      , Mam Sodhail                                                 , Glen Affric and Strathfarrar                    , NH120253 ,3874
 MUNRO      , Maoile Lunndaidh                                            , Achnashellach and Torridon                      , NH135458 ,3303
 MUNRO      , Maol Chean-Dearg                                            , Achnashellach and Torridon                      , NG924499 ,3061
 MUNRO      , Maol Chinn-Dearg                                            , Glen Shiel                                      , NH032087 ,3218
 MUNRO      , Mayar                                                       , Glenshee and Lochnagar                          , NO240737 ,3044
 MUNRO      , Meall a' Bhuiridh                                           , Glen Etive                                      , NN250503 ,3635
 MUNRO      , Meall a' Choire Leith                                       , The Lawers                                      , NN612439 ,3038
 MUNRO      , Meall a' Chrasgaidh                                         , Fannaichs and Ullapool                          , NH184733 ,3064
 MUNRO      , Meall Buidhe [Glen Lyon]                                    , Rannoch and Glen Lyon                           , NN498499 ,3057
 MUNRO      , Meall Buidhe [Knoydart]                                     , Knoydart and Loch Quoich                        , NM849989 ,3103
 MUNRO      , Meall Chuaich                                               , Drumochter                                      , NN716878 ,3120
 MUNRO      , Meall Corranaich                                            , The Lawers                                      , NN615410 ,3507
 MUNRO      , Meall Dearg                                                 , Glencoe                                         , NN161583 ,3126
 MUNRO      , Meall Garbh [Glen Lyon]                                     , Rannoch and Glen Lyon                           , NN647517 ,3175
 MUNRO      , Meall Garbh [Lawers region]                                 , The Lawers                                      , NN644436 ,3667
 MUNRO      , Meall Ghaordaidh                                            , Mamlorn                                         , NN514397 ,3408
 MUNRO      , Meall Glas                                                  , Mamlorn                                         , NN431321 ,3146
 MUNRO      , Meall Gorm                                                  , Fannaichs and Ullapool                          , NH221696 ,3113
 MUNRO      , Meall Greigh                                                , The Lawers                                      , NN674438 ,3284
 MUNRO      , Meall na Teanga                                             , Loch Lochy                                      , NN220924 ,3011
 MUNRO      , Meall nan Aighean                                           , Rannoch and Glen Lyon                           , NN694496 ,3218
 MUNRO      , Meall nan Ceapraichean                                      , Fannaichs and Ullapool                          , NH257825 ,3205
 MUNRO      , Ben Klibreck                                                , Assynt and Far North                            , NC585299 ,3156
 MUNRO      , Meall nan Eun                                               , Glen Etive                                      , NN192449 ,3044
 MUNRO      , Meall nan Tarmachan                                         , The Lawers                                      , NN585390 ,3425
 MUNRO      , Monadh Mor                                                  , South Cairngorms                                , NN938942 ,3651
 MUNRO      , Moruisg                                                     , Achnashellach and Torridon                      , NH101499 ,3044
 MUNRO      , Mount Keen                                                  , Glenshee and Lochnagar                          , NO409869 ,3080
 MUNRO      , Mullach an Rathain (Liathach)                               , Achnashellach and Torridon                      , NG912577 ,3356
